foodid,foodtype,foodname,price,rating,calories,veg,no_of_times_ordered,priority
EF1,Starter,Greek Salad,55.3,4.39,190,1,16,1
EF2,Starter,Veggie Spring Rolls,65.1,4.3,200,1,14,1
EF3,Starter,Edamame,50.2,4.5,180,1,12,1
EF4,Starter,Sweet Potato Wedges,45.6,4.2,170,1,12,1
EF5,Starter,Quinoa Avocado Salad,70.4,4.6,210,1,14,1
EF6,Main,Grilled Salmon,200.8,4.7,380,0,11,2
EF7,Main,Tofu Stir Fry,120.6,4.5,320,1,6,2
EF8,Main,Chicken Wrap,150.6,4.53,350,0,6,2
EF9,Main,Quinoa Bowl,180.8,4.8,400,1,5,2
EF10,Main,Falafel Wrap,130.5,4.4,300,1,14,2
EF11,Smoothie,Green Smoothie,90.9,4.44,250,1,7,3
EF12,Smoothie,Berry Blast Smoothie,85.3,4.6,240,1,14,3
EF13,Smoothie,Tropical Paradise Smoothie,95.2,4.7,260,1,9,3
EF14,Wrap,Chicken Caesar Wrap,110.4,4.4,320,0,6,3
EF15,Wrap,Mediterranean Veggie Wrap,100.8,4.3,300,1,10,3
EF16,Dessert,Chia Seed Pudding,80.5,4.5,220,1,9,4
EF17,Dessert,Fruit Parfait,75.7,4.4,210,1,10,4
EF18,Dessert,Almond Energy Balls,70.6,4.6,200,1,13,4
EF19,Dessert,Coconut Yogurt,65.2,4.28,190,1,13,4
EF20,Dessert,Dark Chocolate Bark,85.6,4.7,230,1,8,4
