foodid,foodtype,foodname,price,rating,calories,veg,no_of_times_ordered,priority
EC1,Starter,Caesar Salad,180.50,4.32,200,1,18,1
EC2,Starter,Caprese Salad,160.90,4.52,180,1,15,1
EC3,Starter,Garlic Bread,120.50,4.33,150,1,9,1
EC4,Starter,Bruschetta,140.90,4.40,170,1,15,1
EC5,Starter,Soup of the Day,150.10,4.23,160,1,15,1
EC6,Main Course,Grilled Salmon,320.30,4.80,350,0,8,2
EC7,Main Course,Beef Wellington,350.10,4.90,400,0,9,2
EC8,Main Course,Roast Chicken,280.10,4.71,320,0,12,2
EC9,Main Course,Vegetable Lasagna,250.30,4.50,280,1,15,2
EC10,Main Course,Shepherd's Pie,270.10,4.60,300,1,7,2
EC11,Pasta,Spaghetti Carbonara,200.30,4.60,250,0,7,3
EC12,Pasta,Penne Arrabiata,180.80,4.50,220,1,7,3
EC13,Pasta,Fettuccine Alfredo,220.50,4.70,280,1,14,3
EC14,Pasta,Ravioli with Tomato Sauce,240.60,4.80,300,1,12,3
EC15,Pasta,Linguine with Clams,230.20,4.60,270,0,6,3
EC16,Dessert,Apple Pie,180.20,4.50,220,1,14,4
EC17,Dessert,Chocolate Fondant,200.10,4.70,250,1,11,4
EC18,Dessert,Cheesecake,190.10,4.60,230,1,10,4
EC19,Dessert,Sticky Toffee Pudding,170.80,4.40,210,1,12,4
EC20,Dessert,Creme Brulee,210.60,4.80,240,1,12,4
